lu,freq,n_sense,LeeNamingAcc,LeeNamingRT
他,30029,4,1.0,596
很,13016,1,0.9,658
她,10776,1,0.9,645
但,10243,4,1.0,632
時,9884,10,0.9,702
等,9205,8,0.95,651
地,8756,5,0.9,640
把,7428,12,0.9,671
裡,6998,4,0.95,618
讓,6633,6,1.0,730
卻,6389,1,0.9,694
位,6016,10,0.9,628
想,5984,9,0.85,706
過,5528,14,0.9,629
該,4517,6,1.0,672
像,4414,5,0.8,673
跟,4242,12,0.85,654
項,3330,6,0.85,742
仍,3098,2,0.9,719
些,2545,2,0.8,731
請,2296,10,1.0,698
起,2230,29,0.9,690
點,2170,26,0.95,674
講,2069,13,0.9,722
常,2022,7,0.75,729
整,1974,5,0.95,695
話,1958,0,0.9,631
錢,1855,11,0.85,652
呀,1808,13,0.8,726
外,1781,10,0.95,664
快,1617,6,0.95,677
叫,1598,13,0.95,656
約,1593,11,0.8,693
均,1551,5,0.8,734
打,1461,125,0.8,631
張,1439,7,1.0,675
經,1232,13,0.85,727
極,1218,6,0.9,806
花,1085,15,0.9,652
往,1085,6,0.85,691
字,1060,13,0.9,742
塊,1046,4,0.9,713
拿,1036,13,0.8,624
放,1033,37,0.95,612
開,1030,86,0.8,665
哪,1024,10,0.85,862
住,973,4,0.9,632
僅,958,2,0.85,691
喔,950,7,0.8,729
夠,939,3,0.95,678
院,938,5,0.85,665
靠,935,10,1.0,637
談,934,4,0.95,654
怕,927,5,0.9,611
據,922,7,0.9,697
除,897,4,0.9,669
份,871,8,0.95,691
底,826,11,0.8,695
低,825,14,0.85,694
性,824,5,0.8,702
變,802,5,0.8,596
部,796,11,0.95,663
愈,778,1,0.85,726
笑,776,2,1.0,711
指,757,10,0.9,688
滿,755,7,0.95,648
臉,753,3,1.0,599
站,740,7,0.95,677
剛,734,8,0.9,601
牠,715,1,0.65,689
頗,693,2,0.85,760
總,692,7,0.9,737
深,687,17,0.9,661
故,684,8,0.9,690
願,680,3,0.85,636
樹,668,4,1.0,718
哦,662,5,0.1,1203
幫,660,4,0.85,676
樣,643,6,0.85,648
何,636,5,0.9,648
眼,635,7,0.85,685
活,627,16,1.0,629
海,625,10,0.9,656
層,622,11,0.95,700
課,617,14,1.0,648
詞,588,7,1.0,750
群,585,7,0.9,720
佔,575,8,0.95,731
批,567,5,0.85,655
例,564,6,0.85,721
按,559,9,0.8,749
提,552,16,0.95,609
欲,541,5,0.9,665
篇,528,2,0.85,624
遭,517,3,0.8,726
股,517,12,0.95,666
換,517,5,0.9,611
選,517,6,0.95,745
辦,507,8,0.85,702
組,498,6,0.9,698
根,495,8,0.95,650
採,493,5,0.95,626
倍,480,4,0.85,718
級,478,5,0.85,784
跑,476,10,0.85,627
動,473,18,0.9,618
媽,469,9,0.85,618
詩,468,2,0.9,728
船,468,3,0.85,705
顆,456,2,1.0,660
病,451,13,0.8,645
唱,448,4,0.9,656
設,445,8,1.0,721
獲,444,2,0.95,610
陳,443,10,0.95,692
搞,443,0,0.9,678
赴,435,1,0.85,750
管,431,15,1.0,661
忙,416,4,0.95,623
建,415,7,0.9,657
收,402,22,0.85,702
隨,395,8,1.0,719
線,387,22,0.95,725
狗,387,6,0.95,682
壞,387,10,0.9,631
實,386,6,0.95,762
短,383,13,0.9,632
視,374,3,0.95,726
接,367,18,0.85,741
菜,362,9,1.0,660
似,356,6,0.9,771
睡,353,10,0.95,684
神,350,11,1.0,700
改,337,9,0.9,666
熱,330,25,0.95,638
忘,330,2,1.0,587
望,327,9,0.85,646
城,327,6,1.0,655
橋,324,11,0.85,656
幅,323,6,0.8,725
離,314,6,0.85,597
輕,313,19,1.0,621
苦,310,16,0.9,663
拉,310,22,0.85,647
哇,309,12,0.9,672
佳,309,3,1.0,686
輛,300,1,0.95,720
河,300,5,0.75,617
球,300,10,0.95,690
跳,299,20,0.9,598
樓,298,5,0.95,732
穿,297,5,0.9,675
波,297,7,0.45,701
排,293,20,0.8,680
街,292,3,0.85,736
陪,291,3,0.95,576
停,291,9,0.85,635
抱,290,4,0.85,587
罵,289,2,0.9,661
情,285,9,0.95,677
試,283,6,0.8,782
痛,281,5,0.9,565
飯,280,4,0.95,679
爸,278,4,0.95,676
稍,276,4,0.75,722
蓋,272,10,0.65,647
持,271,6,0.85,721
冷,263,13,0.9,620
團,260,9,0.95,655
缺,257,7,1.0,679
蠻,257,6,0.85,657
訂,252,6,0.95,696
萬,252,5,0.95,580
唉,252,3,0.9,830
慢,250,4,0.85,630
藥,248,4,1.0,615
舉,247,7,0.9,705
沿,247,2,0.85,700
通,241,11,0.85,645
晚,241,10,0.85,629
棵,239,1,0.6,819
賺,235,3,0.95,724
掛,234,23,0.75,627
擺,234,14,0.9,746
諸,232,3,0.75,735
借,231,4,0.95,687
洞,228,4,0.95,696
裝,228,6,0.95,655
獎,225,4,0.9,725
救,224,5,0.9,684
紙,223,5,0.85,718
破,223,30,0.95,602
戴,222,6,0.9,731
喊,217,7,0.85,724
封,217,10,1.0,662
姓,217,2,0.9,699
致,216,5,0.95,708
抽,216,21,0.95,744
邀,215,1,0.95,669
訪,212,6,0.95,700
戰,211,12,0.85,742
硬,211,13,0.85,745
理,210,11,0.95,622
秒,209,4,0.65,642
棟,207,2,0.9,691
腿,207,9,0.95,724
貨,204,3,0.65,690
特,204,7,0.7,677
碗,201,2,0.85,773
隔,201,7,1.0,697
治,200,8,0.9,809
