,0,1,2,3,4,5,6
0,犯,02582615v,perpetrate,perpetrate%2:41:00::,VERB,bn:00085426v,False
1,犯,02582615v,commit,commit%2:41:00::,VERB,bn:00085426v,False
2,犯,02582615v,pull,pull%2:41:00::,VERB,bn:00085426v,False
3,犯,02582921v,make,make%2:41:13::,VERB,bn:00090561v,False
4,淺,09433134n,shoal,shoal%1:17:01::,NOUN,bn:00070877n,False
5,淺,09433134n,shallow,shallow%1:17:00::,NOUN,bn:00070877n,False
6,淺,00691696a,shallow,shallow%3:00:01::,ADJ,bn:00110501a,False
7,總會,00343015a,inevitable,inevitable%3:00:00::,ADJ,bn:00105024a,False
8,霧,11458314n,fog,fog%1:19:00::,NOUN,bn:00035570n,True
9,霧,11482706n,mist,mist%1:19:00::,NOUN,bn:00055345n,True
10,霧,14521648n,fog,fog%1:26:01::,NOUN,bn:00035571n,False
11,霧,14521648n,fogginess,fogginess%1:26:00::,NOUN,bn:00035571n,False
12,霧,14521648n,murk,murk%1:26:00::,NOUN,bn:00035571n,False
13,霧,14521648n,murkiness,murkiness%1:26:00::,NOUN,bn:00035571n,False
14,霧,15056541n,spray,spray%1:27:00::,NOUN,bn:00073618n,False
15,霧,02549569a,misty,misty%5:00:00:wet:01,ADJ,bn:00106803a,False
16,遠,00442361a,far,far%3:00:00::,ADJ,bn:00102778a,False
17,遠,00101323r,far,far%4:02:02::,ADV,bn:00115322r,False
18,遠,00101051r,far,far%4:02:00::,ADV,bn:00115323r,False
19,淚,00868196n,crying,crying%1:04:00::,NOUN,bn:00024162n,False
20,淚,05278922n,punctum,punctum%1:08:00::,NOUN,bn:00065226n,False
21,淚,05405324n,tear,tear%1:08:01::,NOUN,bn:00076312n,True
22,淚,00868196n,weeping,weeping%1:04:00::,NOUN,bn:00024162n,False
23,淚,00868196n,tears,tears%1:04:00::,NOUN,bn:00024162n,False
24,淚,05405324n,teardrop,teardrop%1:08:00::,NOUN,bn:00076312n,False
25,鞭,10096964n,flogger,flogger%1:18:00::,NOUN,bn:00035292n,False
26,鞭,10776766n,whip,whip%1:18:00::,NOUN,bn:00060846n,False
27,鞭,10776766n,party_whip,party_whip%1:18:00::,NOUN,bn:00060846n,False
28,鞭,10096964n,scourger,scourger%1:18:00::,NOUN,bn:00035292n,False
29,鞭,04577769n,whip,whip%1:06:00::,NOUN,bn:00081007n,True
30,成功,07319103n,success,success%1:11:00::,NOUN,bn:00075023n,False
31,成功,07473441n,victory,victory%1:11:00::,NOUN,bn:00078365n,True
32,成功,07473441n,triumph,triumph%1:11:00::,NOUN,bn:00078365n,False
33,成功,11418138n,luck,luck%1:19:00::,NOUN,bn:00017622n,True
34,成功,11418138n,fortune,fortune%1:19:00::,NOUN,bn:00017622n,False
35,成功,11418138n,chance,chance%1:19:00::,NOUN,bn:00017622n,False
36,成功,11418138n,hazard,hazard%1:19:00::,NOUN,bn:00017622n,False
37,成功,14474894n,success,success%1:26:00::,NOUN,bn:00075025n,False
38,成功,02524171v,succeed,succeed%2:41:00::,VERB,bn:00084086v,False
39,成功,02524171v,win,win%2:41:04::,VERB,bn:00084086v,False
40,成功,02524171v,come_through,come_through%2:41:00::,VERB,bn:00084086v,False
41,成功,02524171v,bring_home_the_bacon,bring_home_the_bacon%2:41:00::,VERB,bn:00084086v,False
42,成功,02524171v,deliver_the_goods,deliver_the_goods%2:41:00::,VERB,bn:00084086v,False
43,成功,02525985v,pan_out,pan_out%2:41:00::,VERB,bn:00091407v,False
44,成功,02654752a,award-winning,award-winning%3:01:00::,ADJ,bn:00097878a,False
45,成功,02331262a,successful,successful%3:00:00::,ADJ,bn:00111409a,False
46,成功,02332286a,made,made%5:00:00:successful:00,ADJ,bn:00106312a,False
47,爸爸,09988063n,dad,dad%1:18:00::,NOUN,bn:00024989n,False
48,爸爸,09988063n,dada,dada%1:18:00::,NOUN,bn:00024989n,False
49,爸爸,09988063n,daddy,daddy%1:18:00::,NOUN,bn:00024989n,False
50,爸爸,10080869n,father,father%1:18:00::,NOUN,bn:00009616n,True
51,爸爸,10080869n,male_parent,male_parent%1:18:00::,NOUN,bn:00009616n,False
52,爸爸,10080869n,begetter,begetter%1:18:00::,NOUN,bn:00009616n,False
53,爸爸,09988063n,pa,pa%1:18:00::,NOUN,bn:00024989n,False
54,爸爸,09988063n,papa,papa%1:18:00::,NOUN,bn:00024989n,True
55,爸爸,09988063n,pappa,pappa%1:18:00::,NOUN,bn:00024989n,False
56,爸爸,09988063n,pop,pop%1:18:00::,NOUN,bn:00024989n,False
57,騎,01935476v,bicycle,bicycle%2:38:00::,VERB,bn:00083471v,False
58,騎,01935476v,pedal,pedal%2:38:00::,VERB,bn:00083471v,False
59,騎,01957529v,ride,ride%2:38:01::,VERB,bn:00093013v,False
60,騎,02705913v,straddle,straddle%2:42:01::,VERB,bn:00094406v,False
61,騎,01955984v,ride,ride%2:38:00::,VERB,bn:00093014v,False
62,騎,01935476v,cycle,cycle%2:38:01::,VERB,bn:00083471v,False
63,騎,01935476v,bike,bike%2:38:00::,VERB,bn:00083471v,False
64,騎,01935476v,wheel,wheel%2:38:06::,VERB,bn:00083471v,False
65,騎,01957529v,sit,sit%2:38:03::,VERB,bn:00093013v,False
66,騎,02102398v,ride,ride%2:38:04::,VERB,bn:00093019v,False
67,騎,02742232v,drive,drive%2:42:00::,VERB,bn:00087336v,False
68,騎,02742232v,ride,ride%2:42:03::,VERB,bn:00087336v,False
69,鬼,09545976n,ghost,ghost%1:18:00::,NOUN,bn:00040370n,False
70,錘,03481824n,hammer,hammer%1:06:04::,NOUN,bn:00020265n,False
71,錘,03481824n,cock,cock%1:06:01::,NOUN,bn:00020265n,False
72,頷,05599617n,chin,chin%1:08:00::,NOUN,bn:00018426n,True
73,頷,05599617n,mentum,mentum%1:08:02::,NOUN,bn:00018426n,False
74,扣,02910353n,buckle,buckle%1:06:00::,NOUN,bn:00013600n,False
75,支,05276290n,ramus,ramus%1:08:00::,NOUN,bn:00066120n,False
76,支,13163250n,branch,branch%1:20:00::,NOUN,bn:00012738n,True
77,表示,05961867n,formalism,formalism%1:09:01::,NOUN,bn:00035933n,False
78,表示,00974367v,announce,announce%2:32:00::,VERB,bn:00082637v,False
79,表示,00820976v,attest,attest%2:32:01::,VERB,bn:00082913v,False
80,表示,00820976v,certify,certify%2:32:00::,VERB,bn:00082913v,False
81,表示,00992041v,gesticulate,gesticulate%2:32:00::,VERB,bn:00088732v,False
82,表示,00992041v,gesture,gesture%2:32:00::,VERB,bn:00088732v,False
83,表示,00820976v,manifest,manifest%2:32:00::,VERB,bn:00082913v,False
84,表示,00992041v,motion,motion%2:32:00::,VERB,bn:00088732v,False
85,表示,02148788v,show,show%2:39:02::,VERB,bn:00086557v,False
86,表示,02148788v,demo,demo%2:39:00::,VERB,bn:00086557v,False
87,表示,00820976v,demonstrate,demonstrate%2:32:00::,VERB,bn:00082913v,False
88,表示,00820976v,evidence,evidence%2:32:00::,VERB,bn:00082913v,False
89,表示,00974367v,denote,denote%2:32:02::,VERB,bn:00082637v,False
90,表示,02148788v,exhibit,exhibit%2:39:00::,VERB,bn:00086557v,False
91,表示,02148788v,present,present%2:39:00::,VERB,bn:00086557v,False
92,表示,02148788v,demonstrate,demonstrate%2:39:01::,VERB,bn:00086557v,False
93,表示,00923793v,indicate,indicate%2:32:03::,VERB,bn:00086679v,False
94,表示,00923793v,point,point%2:32:00::,VERB,bn:00086679v,False
95,表示,00923793v,designate,designate%2:32:03::,VERB,bn:00086679v,False
96,表示,02144460v,express,express%2:39:09::,VERB,bn:00087896v,False
97,表示,02297742v,offer,offer%2:40:09::,VERB,bn:00087908v,False
98,表示,02297742v,extend,extend%2:40:04::,VERB,bn:00087908v,False
99,表示,00923793v,show,show%2:32:01::,VERB,bn:00086679v,False
100,表示,02091300a,indicative,indicative%5:00:00:revealing:00,ADJ,bn:00104942a,False
101,表示,02091300a,indicatory,indicatory%5:00:00:revealing:00,ADJ,bn:00104942a,False
102,表示,02091300a,revelatory,revelatory%5:00:00:revealing:00,ADJ,bn:00104942a,False
103,表示,02091300a,significative,significative%5:00:00:revealing:00,ADJ,bn:00104942a,False
104,表示,02091300a,suggestive,suggestive%5:00:00:revealing:00,ADJ,bn:00104942a,False
105,賠,02284951v,refund,refund%2:40:00::,VERB,bn:00088849v,False
106,賠,02284951v,return,return%2:40:00::,VERB,bn:00088849v,False
107,賠,02284951v,repay,repay%2:40:00::,VERB,bn:00088849v,False
108,賠,02284951v,give_back,give_back%2:40:00::,VERB,bn:00088849v,False
109,宋,13713817n,sone,sone%1:23:00::,NOUN,bn:00072793n,False
110,宋,08158741n,Sung,sung%1:14:00::,NOUN,bn:00072798n,False
111,宋,08158741n,Sung_dynasty,sung_dynasty%1:14:00::,NOUN,bn:00072798n,False
112,宋,08158741n,Song,song%1:14:00::,NOUN,bn:00072798n,False
113,宋,08158741n,Song_dynasty,song_dynasty%1:14:00::,NOUN,bn:00072798n,False
114,桶,13774311n,barrels,barrels%1:23:00::,NOUN,bn:00008704n,False
115,桶,02909870n,bucket,bucket%1:06:00::,NOUN,bn:00013590n,True
116,桶,02909870n,pail,pail%1:06:00::,NOUN,bn:00013590n,False
117,桶,02795169n,barrel,barrel%1:06:00::,NOUN,bn:00008691n,True
118,桶,02795169n,cask,cask%1:06:00::,NOUN,bn:00008691n,False
119,桶,13619920n,barrel,barrel%1:23:01::,NOUN,bn:00008694n,False
120,桶,13619920n,bbl,bbl%1:23:01::,NOUN,bn:00008694n,False
121,播種,02396088n,sow,sow%1:05:00::,NOUN,bn:00073025n,False
122,播種,01500873v,sow,sow%2:35:00::,VERB,bn:00093447v,False
123,播種,01500873v,seed,seed%2:35:01::,VERB,bn:00093447v,False
124,跨越,13454130n,crossing_over,crossing_over%1:22:00::,NOUN,bn:00024009n,False
125,跨越,13454130n,crossover,crossover%1:22:00::,NOUN,bn:00024009n,False
126,跨越,02623194v,bridge,bridge%2:42:00::,VERB,bn:00084042v,False
127,跨越,02705913v,straddle,straddle%2:42:01::,VERB,bn:00094406v,False
128,跨越,02623194v,bridge_over,bridge_over%2:42:00::,VERB,bn:00084042v,False
129,基本,01855764a,basic,basic%3:00:00::,ADJ,bn:00098100a,False
130,基本,02719395a,elemental,elemental%3:01:00::,ADJ,bn:00102108a,False
131,基本,02295298a,basic,basic%5:00:00:standard:01,ADJ,bn:00098101a,False
132,基本,00900616a,essential,essential%3:00:00::,ADJ,bn:00102401a,False
133,基本,02295298a,canonic,canonic%5:00:00:standard:01,ADJ,bn:00098101a,False
134,基本,02295298a,canonical,canonical%5:00:02:standard:01,ADJ,bn:00098101a,False
135,基本,01856238a,elementary,elementary%5:00:00:basic:00,ADJ,bn:00102110a,False
136,基本,01856238a,elemental,elemental%5:00:00:basic:00,ADJ,bn:00102110a,False
137,基本,01856238a,primary,primary%5:00:00:basic:00,ADJ,bn:00102110a,False
138,帥,04685840n,handsomeness,handsomeness%1:07:00::,NOUN,bn:00041072n,False
139,帥,04685840n,good_looks,good_looks%1:07:00::,NOUN,bn:00041072n,False
140,帥,00407419r,nattily,nattily%4:02:00::,ADV,bn:00116322r,False
141,柴,15100644n,firewood,firewood%1:27:00::,NOUN,bn:00034717n,False
