,word,closenessA,betweennessA,degreeA,transA,ncompoA,closenessB,betweennessB,degreeB,transB,ncompoB,closenessC,betweennessC,degreeC,transC,ncompoC,nSense,simp_word,N,RT,RTSD,ERR,length,Word,Frequency,C1Frequency,C2Frequency,C3Frequency,C4Frequency,C1FamilySize,C2FamilySize,C3FamilySize,C4FamilySize,C1FamilyFrequency,C2FamilyFrequency,C3FamilyFrequency,C4FamilyFrequency,C1ConditionalProbability,C12ConditionalProbability,C123ConditionalProbability,C1BackwardConditionalProbability,C12BackwardConditionalProbability,C123BackwardConditionalProbability,C1RE,C2RE,PMI,Strokes,C1Strokes,C2Strokes,C3Strokes,C4Strokes
0,一共,3.468970062788358e-05,0.0,0.0,,1.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,4.22571365228236e-05,3.10503148086714e-06,5.0,0.9,5165.0,1,一共,40,741.71425,248.34715451011155,4.761904761904762,2,一共,13.8918,14863.7877,169.3284,,,432,42.0,,,9724.3662,148.2357,,,0.00174437,,,0.31124398,,,4.6165,2.3322,1.9283,7,1,6.0,,
1,一切,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一切,40,610.6202499999998,104.6157915835556,0.0,2,一切,488.9177,14863.7877,555.2889,,,432,58.0,,,9724.3662,710.2446,,,0.06139255,,,0.88879755,,,4.6165,4.8116,4.6684,5,1,4.0,,
2,一律,3.468970062788358e-05,0.0,0.0,,1.0,3.469090404495941e-05,0.0,1.0,,2.0,3.847423226644012e-05,1.5528166155770652e-05,2.5,0.0,2583.5,2,一律,39,736.6146153846154,147.96963032727498,7.142857142857142,2,一律,2.9429,14863.7877,126.7654,,,432,26.0,,,9724.3662,165.9451,,,0.00036954,,,0.02831467,,,4.6165,5.0344,-0.6096,10,1,9.0,,
3,一心一意,3.468970062788358e-05,0.0,0.0,,1.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,3.469451479721056e-05,0.0,4.0,1.0,5.0,1,一心一意,40,656.0399999999997,152.71473648100198,0.0,4,一心一意,4.8036,14863.7877,3688.8741,14863.7877,1521.0864,432,431.0,432.0,171.0,9724.3662,4197.7539,9724.3662,2027.7687,0.02494322,1.0,1.0,1.0,1.0,0.06657078,,,-15.7937,19,1,4.0,1.0,13.0
4,一模一樣,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一模一样,38,636.1757894736843,154.98253100568326,2.564102564102564,4,一模一样,8.0801,14863.7877,263.2691,14863.7877,2035.0420000000001,432,32.0,432.0,68.0,9724.3662,356.1824,9724.3662,2919.0511,0.04195697,1.0,1.0,1.0,1.0,0.28608924,,,-9.8848,27,1,15.0,1.0,10.0
5,一樣,3.468970062788358e-05,0.0,0.0,,1.0,3.46939130051716e-05,0.0,2.5,1.0,4.5,3.8475004435939775e-05,4.14204780877986e-06,4.0,0.8,2584.0,2,一样,40,700.4495,296.42270360078703,0.0,2,一样,742.3795,14863.7877,2035.0420000000001,,,432,68.0,,,9724.3662,2919.0511,,,0.09321931,,,0.30272994,,,4.6165,4.4954,3.3881,11,1,10.0,,
6,一般,3.468970062788358e-05,0.0,0.0,,1.0,3.4691385478590004e-05,0.0,1.4,1.0,2.4,3.4691385478590004e-05,0.0,1.4,1.0,2.4,5,一般,40,618.6662499999999,139.38838552372422,0.0,2,一般,106.464,14863.7877,136.3704,,,432,10.0,,,9724.3662,120.6079,,,0.01336851,,,0.91048561,,,4.6165,3.2551,5.0238,11,1,10.0,,
7,一視同仁,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一视同仁,40,737.1527500000002,193.57757562422097,4.761904761904762,4,一视同仁,0.6079,14863.7877,540.716,1060.7556,59.0123,432,86.0,136.0,24.0,9724.3662,667.2128,1155.8488,35.189,0.0031564,1.0,1.0,1.0,1.0,0.45810056,,,-6.4005,19,1,8.0,6.0,4.0
8,一貫,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,一贯,40,776.5520000000001,228.529199135331,2.4390243902439024,2,一贯,3.6916,14863.7877,11.8222,,,432,18.0,,,9724.3662,14.2772,,,0.00046355,,,0.47293447,,,4.6165,0.9721,3.4935,9,1,8.0,,
9,丈夫,3.468970062788358e-05,0.0,0.0,,1.0,3.4692709337573806e-05,0.0,2.5,1.0,3.5,3.847890876929039e-05,0.0,7.0,1.0,2587.5,2,丈夫,40,692.62075,357.61507859412836,2.4390243902439024,2,丈夫,69.4885,58.5728,290.7901,,,12,61.0,,,80.2743,327.9837,,,0.99090909,,,0.38419607,,,5.7481,5.876,10.0051,7,3,4.0,,
10,上升,3.468970062788358e-05,0.0,0.0,,1.0,3.469491611719389e-05,0.0,2.333333333333333,1.0,5.333333333333333,4.2257403816349986e-05,2.674445719954469e-10,5.333333333333333,0.9444444444444444,5165.0,3,上升,37,738.5670270270268,295.75287289733524,7.5,2,上升,21.3491,4716.721,487.5012,,,285,45.0,,,3394.0252,278.8584,,,0.01452228,,,0.27249503,,,5.3547,3.7287,3.0592,7,3,4.0,,
11,上天,3.468970062788358e-05,0.0,0.0,,1.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,4.225718620385755e-05,0.0,2.0,1.0,5165.0,1,上天,40,754.9545,264.3098748696117,0.0,2,上天,17.2128,4716.721,5558.4494,,,285,294.0,,,3394.0252,4875.619000000001,,,0.01170859,,,0.00482558,,,5.3547,5.462999999999999,-1.3964,7,3,4.0,,
12,上學,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,3.4704145850374325e-05,2.5273512053569737e-08,2.0,0.0,13.0,2,上学,40,659.5450000000002,178.82368715351782,0.0,2,上学,43.8844,4716.721,1166.4395,,,285,248.0,,,3394.0252,1430.7191,,,0.02985135,,,0.07039072,,,5.3547,4.8545,1.7919999999999998,11,3,8.0,,
13,上市,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3,上市,38,857.9076315789474,350.6547263869146,5.0,2,上市,17.8873,4716.721,774.4444,,,285,69.0,,,3394.0252,929.3032,,,0.01216745,,,0.02678017,,,5.3547,7.3424,1.0493,8,3,5.0,,
14,上班,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.469692313467657e-05,2.5273512053569737e-08,1.5,0.0,7.0,2,上班,40,583.7917499999999,136.20304774419608,0.0,2,上班,318.8436,4716.721,543.8222,,,285,72.0,,,3394.0252,604.9963,,,0.21688618,,,0.57594301,,,5.3547,5.8661,5.8336,13,3,10.0,,
15,上進,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,上进,42,733.5919047619051,290.99138559236775,0.0,2,上进,3.2691,4716.721,749.1160000000001,,,285,116.0,,,3394.0252,781.8458,,,0.00222372,,,0.02325459,,,5.3547,4.4889,-1.1496,10,3,7.0,,
16,下令,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,下令,39,786.4933333333335,354.4230139501998,2.5,2,下令,3.2468,4449.8815,154.9333,,,264,54.0,,,4733.017,78.8807,,,0.00162433,,,0.0487642,,,5.6857,4.2767,1.7962,8,3,5.0,,
17,下屬,3.47252716015826e-05,0.0,0.5,,30.5,3.4697524154137455e-05,0.0,2.5,1.0,7.5,4.225802494552469e-05,0.00013404175070442367,3.5,0.5833333333333333,5165.0,2,下属,41,628.180731707317,137.61302233782644,2.380952380952381,2,下属,6.6938,4449.8815,193.9556,,,264,31.0,,,4733.017,226.8866,,,0.0033488,,,0.06230164,,,5.6857,4.6993,1.1195,15,3,12.0,,
18,下流,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,下流,40,710.8964999999997,302.7172111321739,0.0,2,下流,3.1357,4449.8815,454.5778,,,264,171.0,,,4733.017,538.851,,,0.00156871,,,0.01844584,,,5.6857,4.3214,-1.0608,12,3,9.0,,
19,下降,3.468970062788358e-05,0.0,0.0,,1.0,3.4692508990766824e-05,0.0,1.6666666666666667,1.0,3.333333333333333,4.225740377505084e-05,0.0,4.666666666666667,1.0,5165.0,3,下降,41,706.9453658536585,186.193970593808,0.0,2,下降,26.4789,4449.8815,131.1605,,,264,43.0,,,4733.017,162.765,,,0.01324685,,,0.66954077,,,5.6857,2.4515,3.6882,12,3,9.0,,
20,不,3.4691305323154065e-05,2.674445719954469e-10,0.6666666666666666,0.0,2.333333333333333,3.46917066013661e-05,4.814002295918046e-09,1.6666666666666667,0.4,2.6666666666666665,3.7211744388905876e-05,1.2422532924616514e-05,2.6666666666666665,0.35714285714285715,1722.333333333333,3,不,38,660.971842105263,176.1855509438274,2.564102564102564,1,不,18099.3106,15110.2864,,,,669,,,,3758.5767,,,,,,,,,,,,,4,4,,,
21,不但,3.468970062788358e-05,0.0,0.0,,1.0,3.470173855710171e-05,2.674445719954469e-10,10.0,0.9777777777777779,11.0,3.470173855710171e-05,0.0,10.0,1.0,11.0,1,不但,38,767.6963157894737,263.8817725587777,7.317073170731707,2,不但,13.4025,15110.2864,1326.7605,,,669,5.0,,,3758.5767,766.7457,,,0.00535953,,,0.96068013,,,5.0989,1.4069999999999998,1.1452,11,4,7.0,,
